"transcript_biotype" "entrezgene" "ensembl_gene_id" "ensembl_gene_id_version" "hgnc_symbol" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val"
"GFPT2" "protein_coding" 9945 "ENSG00000131459" "ENSG00000131459.12" "GFPT2" 2.85042167043397 -0.356750515334727 8.85921679982123 3.41718360774287e-16 3.41402928441265e-13
"CCL16" "protein_coding" 6360 "ENSG00000275152" "ENSG00000275152.4" "CCL16" -4.0978997052595 4.96693838241207 -8.79974770633449 4.96328448378246e-16 4.60450991966905e-13
"DAO" "protein_coding" 1610 "ENSG00000110887" "ENSG00000110887.7" "DAO" -3.25881005890307 4.58728655029937 -8.66181673385758 1.17509906153655e-15 1.01747910741578e-12
"STMN3" "protein_coding" 50861 "ENSG00000197457" "ENSG00000197457.9" "STMN3" 2.03239086373836 1.50266736819313 8.58771533351113 1.8629721436417e-15 1.51226763760115e-12
"CTBP2" "protein_coding" 1488 "ENSG00000175029" "ENSG00000175029.16" "CTBP2" 1.7521828429618 2.44981773058283 8.54916778272529 2.36615032390578e-15 1.80773884746402e-12
"OBSCN" "protein_coding" 84033 "ENSG00000154358" "ENSG00000154358.20" "OBSCN" 2.41943584382067 1.63851410610328 8.42622723153595 5.05744825546928e-15 3.41297179099376e-12
"LINGO1" "protein_coding" 84894 "ENSG00000169783" "ENSG00000169783.12" "LINGO1" 2.33487078981093 1.73423022344321 8.42329467063139 5.14963355337094e-15 3.41297179099376e-12
"TEAD4" "protein_coding" 7004 "ENSG00000197905" "ENSG00000197905.8" "TEAD4" 1.69566655838348 1.94394442184123 8.41998807628194 5.25557713426819e-15 3.41297179099376e-12
"HTRA3" "protein_coding" 94031 "ENSG00000170801" "ENSG00000170801.9" "HTRA3" 2.50980567042012 1.78930433320103 8.39311680652887 6.2006715980234e-15 3.83496774833942e-12
"WTIP" "protein_coding" 126374 "ENSG00000142279" "ENSG00000142279.12" "WTIP" 1.58471372656178 1.17700129133011 8.34139936678259 8.51904725503261e-15 5.0293357158347e-12
"APBA2" "protein_coding" 321 "ENSG00000034053" "ENSG00000034053.14" "APBA2" 2.41067785195316 -0.304479109813511 8.24365797423273 1.54922802783549e-14 8.74842331544666e-12
"PAPLN" "protein_coding" 89932 "ENSG00000100767" "ENSG00000100767.16" "PAPLN" 2.4653444221517 2.23535221367152 8.19398284317812 2.0970455695586e-14 1.13485116072613e-11
"CHST10" "protein_coding" 9486 "ENSG00000115526" "ENSG00000115526.10" "CHST10" 1.90660689957582 0.8107080661941 8.13682349568335 2.96811334881137e-14 1.54199424697448e-11
"DMKN" "protein_coding" 93099 "ENSG00000161249" "ENSG00000161249.20" "DMKN" 4.4051848391675 0.0409045654163672 8.08363458678849 4.0976411688245e-14 2.04692936541125e-11
"SPHK1" "protein_coding" 8877 "ENSG00000176170" "ENSG00000176170.13" "SPHK1" 2.70855487026257 2.56883901537167 8.05613006312631 4.8380814911888e-14 2.32729638546519e-11
"TYRO3" "protein_coding" 7301 "ENSG00000092445" "ENSG00000092445.11" "TYRO3" 2.19467718806189 2.21862581228442 8.02531771732011 5.82702957795227e-14 2.702909291373e-11
"FMO3" "protein_coding" 2328 "ENSG00000007933" "ENSG00000007933.12" "FMO3" -2.91810259462941 7.25189931964446 -8.00229442056029 6.69439988793018e-14 2.99816778429094e-11
"RAB34" "protein_coding" 83871 "ENSG00000109113" "ENSG00000109113.19" "RAB34" 2.08728846650216 3.07812143082528 7.99239468473305 7.10558185707069e-14 3.07624323865447e-11
"TGFA" "protein_coding" 7039 "ENSG00000163235" "ENSG00000163235.15" "TGFA" 2.43818190648937 1.13715962057422 7.95592152234442 8.84817124287095e-14 3.70709832588412e-11
"FZD8" "protein_coding" 8325 "ENSG00000177283" "ENSG00000177283.7" "FZD8" 1.73927944863471 1.53327887949321 7.9498907068424 9.17454308589764e-14 3.7237176749887e-11
"SMARCD3" "protein_coding" 6604 "ENSG00000082014" "ENSG00000082014.16" "SMARCD3" 1.7633626357353 2.28375608702194 7.88505409388331 1.35318883193524e-13 5.24071624335633e-11
"ABCG8" "protein_coding" 64241 "ENSG00000143921" "ENSG00000143921.7" "ABCG8" -3.32801772324316 4.79676987059111 -7.88275843758665 1.37191524695192e-13 5.24071624335633e-11
"CFHR5" "protein_coding" 81494 "ENSG00000134389" "ENSG00000134389.9" "CFHR5" -4.12141936064748 5.24339268574582 -7.80667194397238 2.16070986932777e-13 8.01808565223686e-11
"MBOAT2" "protein_coding" 129642 "ENSG00000143797" "ENSG00000143797.11" "MBOAT2" 2.11179926631131 0.284242112693749 7.79234589827757 2.35268020710576e-13 8.48794736941378e-11
"FMOD" "protein_coding" 2331 "ENSG00000122176" "ENSG00000122176.10" "FMOD" 2.35374124229612 2.53601504988772 7.78487929448262 2.45952059642295e-13 8.6335820287409e-11
"PDE9A" "protein_coding" 5152 "ENSG00000160191" "ENSG00000160191.17" "PDE9A" 2.18961374563 2.06220984327846 7.77903024075701 2.54655735327695e-13 8.70386497483184e-11
"AATK" "protein_coding" 9625 "ENSG00000181409" "ENSG00000181409.11" "AATK" 1.98336755977495 0.55996606945707 7.76166892639134 2.82326004406007e-13 9.40217985955186e-11
"CYP4F2" "protein_coding" 8529 "ENSG00000186115" "ENSG00000186115.12" "CYP4F2" -3.29140791072174 5.42308782540743 -7.73227637702183 3.36116250748134e-13 1.07492042924887e-10
"MRC2" "protein_coding" 9902 "ENSG00000011028" "ENSG00000011028.13" "MRC2" 2.02366994676517 3.12304198833272 7.73067037023372 3.39326590692977e-13 1.07492042924887e-10
"ACSM2A" "protein_coding" 123876 "ENSG00000183747" "ENSG00000183747.11" "ACSM2A" -3.17616602539324 6.46775186289442 -7.71734951637106 3.67193891995494e-13 1.13550339743749e-10
"CERCAM" "protein_coding" 51148 "ENSG00000167123" "ENSG00000167123.18" "CERCAM" 1.93387686721838 2.18370571407376 7.68125291516074 4.54594024828698e-13 1.37308539406398e-10
"EPS8L1" "protein_coding" 54869 "ENSG00000131037" "ENSG00000131037.14" "EPS8L1" 2.6859056381872 -0.142479667834795 7.65903221673902 5.18327793764862e-13 1.53000940577683e-10
"CACNA1H" "protein_coding" 8912 "ENSG00000196557" "ENSG00000196557.12" "CACNA1H" 2.76980960150366 3.19847431880233 7.62919268233569 6.18010844786025e-13 1.75880174002113e-10
"ABCG5" "protein_coding" 64240 "ENSG00000138075" "ENSG00000138075.12" "ABCG5" -2.68687203313987 4.56133671783372 -7.62487082548299 6.33939910698276e-13 1.75880174002113e-10
"TMEM51" "protein_coding" 55092 "ENSG00000171729" "ENSG00000171729.13" "TMEM51" 1.74020699500406 2.17106912707805 7.62419627983613 6.36461978603274e-13 1.75880174002113e-10
"TESC" "protein_coding" 54997 "ENSG00000088992" "ENSG00000088992.17" "TESC" 2.67894035541738 2.99839710612736 7.61121858419641 6.86974624091269e-13 1.85883883702029e-10
"MFAP2" "protein_coding" 4237 "ENSG00000117122" "ENSG00000117122.13" "MFAP2" 2.75460661693279 -0.100767046912643 7.60770284134588 7.01328596095781e-13 1.85895016450857e-10
"CYBA" "protein_coding" 1535 "ENSG00000051523" "ENSG00000051523.10" "CYBA" 2.01884375208075 4.96413892200505 7.59567890277019 7.52696095160489e-13 1.95520337678889e-10
"ANO9" "protein_coding" 338440 "ENSG00000185101" "ENSG00000185101.12" "ANO9" 2.4634941994756 0.709730254268674 7.54536668233416 1.01114686076954e-12 2.57192839666219e-10
"CDCA7" "protein_coding" 83879 "ENSG00000144354" "ENSG00000144354.13" "CDCA7" 2.82975562761844 0.0915144364305863 7.54219727382711 1.03009354026595e-12 2.57192839666219e-10
"SPECC1" "protein_coding" 92521 "ENSG00000128487" "ENSG00000128487.16" "SPECC1" 1.75851809208342 2.24255294063187 7.53900545195806 1.04952421483751e-12 2.57192839666219e-10
"EPHB3" "protein_coding" 2049 "ENSG00000182580" "ENSG00000182580.2" "EPHB3" 2.48781108717412 0.0314589103162524 7.52863873959075 1.11517604919446e-12 2.68220491239586e-10
"MDFI" "protein_coding" 4188 "ENSG00000112559" "ENSG00000112559.13" "MDFI" 2.29838256949815 0.310924440090824 7.50589078682875 1.2738038704722e-12 3.00802993994416e-10
"LRFN1" "protein_coding" 57622 "ENSG00000128011" "ENSG00000128011.4" "LRFN1" 1.86156338101227 0.19434714611427 7.4261006380531 2.02770698041633e-12 4.54066521752539e-10
"SEL1L3" "protein_coding" 23231 "ENSG00000091490" "ENSG00000091490.10" "SEL1L3" 2.08156722007053 4.13575183532003 7.42089795577493 2.08993337653987e-12 4.6006872363559e-10
"DMGDH" "protein_coding" 29958 "ENSG00000132837" "ENSG00000132837.14" "DMGDH" -2.31562775423212 5.6061900480717 -7.41250474367501 2.19432097268564e-12 4.74997346554019e-10
"MAP1A" "protein_coding" 4130 "ENSG00000166963" "ENSG00000166963.12" "MAP1A" 1.73767509911597 0.914513376962816 7.40497313370161 2.29236883658298e-12 4.86422421372648e-10
"WNK2" "protein_coding" 65268 "ENSG00000165238" "ENSG00000165238.16" "WNK2" 4.07200078174698 0.692416194290639 7.39705197675291 2.40077418933309e-12 4.94940558270765e-10
"FAM19A5" "protein_coding" 25817 "ENSG00000219438" "ENSG00000219438.8" "FAM19A5" 3.90773670513483 -0.109326681341379 7.37915286085334 2.66299583846281e-12 5.40421717968047e-10
"SLC7A1" "protein_coding" 6541 "ENSG00000139514" "ENSG00000139514.12" "SLC7A1" 2.08204805361132 2.47248118404515 7.37460064782647 2.73364880097145e-12 5.46225086569496e-10
"CRMP1" "protein_coding" 1400 "ENSG00000072832" "ENSG00000072832.14" "CRMP1" 1.81115109563935 1.68579649818027 7.3595270944048 2.98283123224548e-12 5.85604808559119e-10
"FNDC1" "protein_coding" 84624 "ENSG00000164694" "ENSG00000164694.16" "FNDC1" 2.83624242934193 0.378631269213864 7.35733479968781 3.02090561852949e-12 5.85604808559119e-10
"PMEPA1" "protein_coding" 56937 "ENSG00000124225" "ENSG00000124225.15" "PMEPA1" 2.04341677366468 3.25788556564011 7.35044634859688 3.14364263089235e-12 5.91737808816442e-10
"EHHADH" "protein_coding" 1962 "ENSG00000113790" "ENSG00000113790.10" "EHHADH" -2.02594181015348 7.02978576064632 -7.30401556705504 4.10968826984485e-12 7.62523303553498e-10
"ETNPPL" "protein_coding" 64850 "ENSG00000164089" "ENSG00000164089.8" "ETNPPL" -3.30511264747228 4.6010194968285 -7.27720183646209 4.79576180670245e-12 8.7728668092185e-10
"ISLR" "protein_coding" 3671 "ENSG00000129009" "ENSG00000129009.12" "ISLR" 2.68468213533068 1.95293691818782 7.25560507021695 5.4292737619656e-12 9.79380661394572e-10
"DIO1" "protein_coding" 1733 "ENSG00000211452" "ENSG00000211452.10" "DIO1" -2.84317779918366 5.40799487095229 -7.24443357378955 5.78882910529544e-12 1.02993578656955e-09
"RDH16" "protein_coding" 8608 "ENSG00000139547" "ENSG00000139547.7" "RDH16" -3.16383063604638 5.6893606738066 -7.21545295960191 6.83495074104043e-12 1.17987357018876e-09
"ACSM2B" "protein_coding" 348158 "ENSG00000066813" "ENSG00000066813.14" "ACSM2B" -2.88717572032542 7.00985457759222 -7.21369196164841 6.90409542149256e-12 1.17987357018876e-09
"AR" "protein_coding" 367 "ENSG00000169083" "ENSG00000169083.16" "AR" -2.63009868515067 5.22906752511222 -7.19621228901991 7.63018624563873e-12 1.28304347441568e-09
"DCXR" "protein_coding" 51181 "ENSG00000169738" "ENSG00000169738.7" "DCXR" -2.05482319126214 8.45857385919813 -7.1944968252393 7.70537349895463e-12 1.28304347441568e-09
"C6orf132" "protein_coding" 647024 "ENSG00000188112" "ENSG00000188112.8" "C6orf132" 3.08646084246373 -0.521336519162632 7.18965782813637 7.92160792779772e-12 1.30235245273717e-09
"FUT4" "protein_coding" 2526 "ENSG00000196371" "ENSG00000196371.3" "FUT4" 1.76093498560768 1.84101163446882 7.15632074272463 9.58169888197078e-12 1.55558881348796e-09
"SLC27A5" "protein_coding" 10998 "ENSG00000083807" "ENSG00000083807.9" "SLC27A5" -2.65672806261733 7.51755321602723 -7.15238578307709 9.79905614934564e-12 1.55873561599303e-09
"GAREM2" "protein_coding" 150946 "ENSG00000157833" "ENSG00000157833.12" "GAREM2" 1.82380093203496 0.439138070199948 7.14829146658494 1.00303345140752e-11 1.55873561599303e-09
"PFKFB1" "protein_coding" 5207 "ENSG00000158571" "ENSG00000158571.10" "PFKFB1" -2.96473914668427 2.89774271855924 -7.14770288971742 1.0064142075033e-11 1.55873561599303e-09
"CDO1" "protein_coding" 1036 "ENSG00000129596" "ENSG00000129596.4" "CDO1" -2.6045031963038 6.48734253327795 -7.14740501209005 1.00811357979223e-11 1.55873561599303e-09
"SSC5D" "protein_coding" 284297 "ENSG00000179954" "ENSG00000179954.15" "SSC5D" 1.998054228694 0.51482615512976 7.1163970902382 1.20264896644052e-11 1.83764762072112e-09
"ZNF853" "protein_coding" 54753 "ENSG00000236609" "ENSG00000236609.3" "ZNF853" 1.61103513225953 -0.109223861484129 7.11143413392768 1.2370505170986e-11 1.86823396698565e-09
"UGT2B10" "protein_coding" 7365 "ENSG00000109181" "ENSG00000109181.11" "UGT2B10" -3.02227000791954 6.29836448065283 -7.09020665896757 1.39550935825994e-11 2.08331902817013e-09
"MMP11" "protein_coding" 4320 "ENSG00000099953" "ENSG00000099953.9" "MMP11" 1.99831121387366 2.99717045652914 7.0876527650513 1.41584765311759e-11 2.08966242257856e-09
"ETNK2" "protein_coding" 55224 "ENSG00000143845" "ENSG00000143845.14" "ETNK2" -2.25545771343696 6.24423605096316 -7.08041361687822 1.4751721235756e-11 2.15275680235953e-09
"ZNF469" "protein_coding" 84627 "ENSG00000225614" "ENSG00000225614.2" "ZNF469" 1.70559782773831 0.0776759524146208 7.05783508753603 1.67640373992248e-11 2.39265184330913e-09
"ASPDH" "protein_coding" 554235 "ENSG00000204653" "ENSG00000204653.9" "ASPDH" -3.10134527622956 4.07958115612929 -7.05076975133718 1.74481254947724e-11 2.4632201513707e-09
"APOF" "protein_coding" 319 "ENSG00000175336" "ENSG00000175336.9" "APOF" -3.5485507109065 4.13208306845563 -7.04846769972912 1.76784384886481e-11 2.46889848484474e-09
"NPTXR" "protein_coding" 23467 "ENSG00000221890" "ENSG00000221890.3" "NPTXR" 2.51812040013736 0.750216846921244 7.03251614298186 1.93438237498677e-11 2.64460613540296e-09
"SEMA3C" "protein_coding" 10512 "ENSG00000075223" "ENSG00000075223.13" "SEMA3C" 2.60852816003485 -0.510916790692888 7.02674495872369 1.9984595639389e-11 2.70374925171234e-09
"CHST3" "protein_coding" 9469 "ENSG00000122863" "ENSG00000122863.5" "CHST3" 1.5990363970706 1.86300668076031 7.02131185319708 2.06068724678603e-11 2.75919649085124e-09
"UPB1" "protein_coding" 51733 "ENSG00000100024" "ENSG00000100024.14" "UPB1" -2.86408068137891 6.4256350053942 -7.00659399871842 2.23905774506434e-11 2.96743693805057e-09
"METRNL" "protein_coding" 284207 "ENSG00000176845" "ENSG00000176845.12" "METRNL" 1.63971663626688 2.95781202480623 6.97100569332036 2.73563810346969e-11 3.55304676878644e-09
"COL16A1" "protein_coding" 1307 "ENSG00000084636" "ENSG00000084636.17" "COL16A1" 2.14109396380566 2.3356929716398 6.96601405946059 2.81346656372193e-11 3.61795086431885e-09
"SLC10A1" "protein_coding" 6554 "ENSG00000100652" "ENSG00000100652.4" "SLC10A1" -3.98804684092958 4.8637346053804 -6.95999337352026 2.91150833574848e-11 3.7073206141864e-09
"CES2" "protein_coding" 8824 "ENSG00000172831" "ENSG00000172831.11" "CES2" -1.86619247978289 8.48311550030463 -6.94593355911706 3.1492278296786e-11 3.9710845681423e-09
"GPC4" "protein_coding" 2239 "ENSG00000076716" "ENSG00000076716.8" "GPC4" 2.5008543221325 1.27441193605503 6.94215679618254 3.2166589900185e-11 4.01711220791925e-09
"CPNE7" "protein_coding" 27132 "ENSG00000178773" "ENSG00000178773.14" "CPNE7" 2.41519113803002 -0.165466605114268 6.92795442288767 3.48319244227018e-11 4.23995680096824e-09
"NPTX2" "protein_coding" 4885 "ENSG00000106236" "ENSG00000106236.3" "NPTX2" 3.97743235743893 -0.132771497286321 6.92743412006992 3.49491557296886e-11 4.23995680096824e-09
"GABBR1" "protein_coding" 2550 "ENSG00000204681" "ENSG00000204681.10" "GABBR1" 1.70616646069715 1.21372573553732 6.92542435794 3.53290470916102e-11 4.23995680096824e-09
"MXRA8" "protein_coding" 54587 "ENSG00000162576" "ENSG00000162576.16" "MXRA8" 1.65164720711428 3.11543792714775 6.92415390526081 3.55813209866707e-11 4.23995680096824e-09
"PAQR5" "protein_coding" 54852 "ENSG00000137819" "ENSG00000137819.13" "PAQR5" 2.67526098988424 1.96890516092044 6.92414504552835 3.55832531032906e-11 4.23995680096824e-09
"IGF1R" "protein_coding" 3480 "ENSG00000140443" "ENSG00000140443.13" "IGF1R" 1.81485915044075 1.6716149866491 6.91618874876282 3.72039255209869e-11 4.36341683980361e-09
"PRDM16" "protein_coding" 63976 "ENSG00000142611" "ENSG00000142611.16" "PRDM16" 2.48024619801362 -0.454851375665779 6.91576992497456 3.72912895917924e-11 4.36341683980361e-09
"SPINT1" "protein_coding" 6692 "ENSG00000166145" "ENSG00000166145.14" "SPINT1" 2.99531798096391 2.36660383536091 6.89276085847296 4.24122438160312e-11 4.91830555966619e-09
"TMEM132A" "protein_coding" 54972 "ENSG00000006118" "ENSG00000006118.14" "TMEM132A" 1.92699344327731 2.72294786891914 6.88837207919877 4.34637086987418e-11 4.99563405822353e-09
"GLYAT" "protein_coding" 10249 "ENSG00000149124" "ENSG00000149124.10" "GLYAT" -4.65254974207325 3.88067364652699 -6.86426550068143 4.98051642282268e-11 5.67429362277377e-09
"P3H3" "protein_coding" 10536 "ENSG00000110811" "ENSG00000110811.19" "P3H3" 1.91428512859784 1.43866685509378 6.84898618985277 5.41373866536744e-11 6.11422937267759e-09
"NXN" "protein_coding" 64359 "ENSG00000167693" "ENSG00000167693.16" "NXN" 1.82041019966241 2.59252389182924 6.84309725329554 5.5941091271144e-11 6.26347321922084e-09
"CMBL" "protein_coding" 134147 "ENSG00000164237" "ENSG00000164237.8" "CMBL" -1.91678458053753 6.68626887923971 -6.81424907995845 6.56687861157268e-11 7.06889501122504e-09
"YBX3" "protein_coding" 8531 "ENSG00000060138" "ENSG00000060138.12" "YBX3" 1.56592335860086 4.3394964773118 6.79406148917458 7.34490539729762e-11 7.81931404099193e-09
"ADAM12" "protein_coding" 8038 "ENSG00000148848" "ENSG00000148848.14" "ADAM12" 2.30601992076587 0.0738677662143593 6.78761892607688 7.61181327647008e-11 8.03757974266613e-09
"HPR" "protein_coding" 3250 "ENSG00000261701" "ENSG00000261701.6" "HPR" -3.12214876067804 6.95451743384499 -6.78205996694661 7.85016346101994e-11 8.22241314771991e-09
"F9" "protein_coding" 2158 "ENSG00000101981" "ENSG00000101981.11" "F9" -3.60436888734034 5.89516389610231 -6.77212508159131 8.29539419411492e-11 8.55083966612417e-09
"VCAN" "protein_coding" 1462 "ENSG00000038427" "ENSG00000038427.15" "VCAN" 2.37893049306815 3.59107621412639 6.76128455970249 8.8057534980005e-11 8.93685456389417e-09
"PKLR" "protein_coding" 5313 "ENSG00000143627" "ENSG00000143627.18" "PKLR" -2.768533936465 6.0711995719427 -6.7612506716005 8.80749448859297e-11 8.93685456389417e-09
"DPYS" "protein_coding" 1807 "ENSG00000147647" "ENSG00000147647.12" "DPYS" -2.86011615428675 6.75530561219436 -6.74332808579199 9.72393265365082e-11 9.79026645779976e-09
"DACT3" "protein_coding" 147906 "ENSG00000197380" "ENSG00000197380.10" "DACT3" 1.65112141287345 0.238400612901101 6.7341334547058 1.02296737222557e-10 1.02202309465121e-08
"EBF4" "protein_coding" 57593 "ENSG00000088881" "ENSG00000088881.20" "EBF4" 1.84896754508464 2.1145850299192 6.71888187978811 1.11266166054942e-10 1.10314882803174e-08
"PLPP2" "protein_coding" 8612 "ENSG00000141934" "ENSG00000141934.9" "PLPP2" 3.20249529156007 2.11199433836717 6.70977906218888 1.16993175763438e-10 1.14729104358659e-08
"NR1I2" "protein_coding" 8856 "ENSG00000144852" "ENSG00000144852.17" "NR1I2" -3.34380327899201 3.51412796619312 -6.70902500920617 1.17485146902538e-10 1.14729104358659e-08
"UAP1L1" "protein_coding" 91373 "ENSG00000197355" "ENSG00000197355.10" "UAP1L1" 1.78794474877309 2.00333311778293 6.67733663433726 1.39815265051559e-10 1.33553253136735e-08
"FNDC10" "protein_coding" 643988 "ENSG00000228594" "ENSG00000228594.3" "FNDC10" 1.90859261518334 0.458829115086551 6.67729614379351 1.39846338363074e-10 1.33553253136735e-08
"TANC2" "protein_coding" 26115 "ENSG00000170921" "ENSG00000170921.15" "TANC2" 1.76768063238431 1.79743959068417 6.66957342742215 1.45898510921607e-10 1.38316048164221e-08
"SYT13" "protein_coding" 57586 "ENSG00000019505" "ENSG00000019505.7" "SYT13" 3.90010104695351 -1.42275026647505 6.6610010735239 1.53008728832076e-10 1.44005606526884e-08
"EMILIN1" "protein_coding" 11117 "ENSG00000138080" "ENSG00000138080.13" "EMILIN1" 1.75127864013088 4.14328520813151 6.65821214917063 1.55273597949981e-10 1.44267423302259e-08
"COL8A2" "protein_coding" 1296 "ENSG00000171812" "ENSG00000171812.12" "COL8A2" 2.11319170713358 -0.127917592516111 6.65700906929124 1.563004452754e-10 1.44267423302259e-08
"GLYATL1" "protein_coding" 92292 "ENSG00000166840" "ENSG00000166840.13" "GLYATL1" -2.85739150920704 5.11452294412681 -6.65664123572198 1.56619238417142e-10 1.44267423302259e-08
"CYP2J2" "protein_coding" 1573 "ENSG00000134716" "ENSG00000134716.9" "CYP2J2" -1.76248882833256 5.59476029708883 -6.65224844802377 1.60429533288399e-10 1.467365336866e-08
"SRRM3" "protein_coding" 222183 "ENSG00000177679" "ENSG00000177679.15" "SRRM3" 2.65355078476697 -0.441129067789101 6.64819502336625 1.64031148679766e-10 1.48207827819111e-08
"GYS2" "protein_coding" 2998 "ENSG00000111713" "ENSG00000111713.2" "GYS2" -3.84503608468868 3.47270923937302 -6.64283350594832 1.69004969088265e-10 1.50344968391671e-08
"FAM184A" "protein_coding" 79632 "ENSG00000111879" "ENSG00000111879.18" "FAM184A" -1.92664976415205 2.15005804654148 -6.63658987544871 1.74782923783821e-10 1.54427252660154e-08
"MYO10" "protein_coding" 4651 "ENSG00000145555" "ENSG00000145555.14" "MYO10" 1.63933883439845 2.97421876414358 6.62415785124379 1.87072333185845e-10 1.64168612393091e-08
"SSPN" "protein_coding" 8082 "ENSG00000123096" "ENSG00000123096.11" "SSPN" 1.87706014060566 0.0781607386644112 6.61720550513185 1.94311674046922e-10 1.69377182719558e-08
"SLC6A6" "protein_coding" 6533 "ENSG00000131389" "ENSG00000131389.16" "SLC6A6" 2.02753975640677 2.45270626517453 6.61416613264358 1.9756248308419e-10 1.71062768686497e-08
"GAL3ST4" "protein_coding" 79690 "ENSG00000197093" "ENSG00000197093.10" "GAL3ST4" 1.66037004288178 0.715028330599642 6.61145408727728 2.0050830958386e-10 1.72463703634117e-08
"LPAR2" "protein_coding" 9170 "ENSG00000064547" "ENSG00000064547.13" "LPAR2" 1.69057920384774 1.25096912504029 6.60951770515362 2.02638029428044e-10 1.73148863566542e-08
"MELTF" "protein_coding" 4241 "ENSG00000163975" "ENSG00000163975.11" "MELTF" 2.0733194431595 1.93715054534601 6.59634177542168 2.17732384371709e-10 1.84830601844428e-08
"FBLN1" "protein_coding" 2192 "ENSG00000077942" "ENSG00000077942.18" "FBLN1" 1.82962015111579 4.32179329358429 6.58746068297899 2.28525205177795e-10 1.90898042813988e-08
"HID1" "protein_coding" 283987 "ENSG00000167861" "ENSG00000167861.15" "HID1" 1.62136398807929 3.18696677363161 6.58692378170343 2.29194291521325e-10 1.90898042813988e-08
"STMN2" "protein_coding" 11075 "ENSG00000104435" "ENSG00000104435.13" "STMN2" 3.63377622349399 -1.96806511278676 6.58691353899988 2.29289303041132e-10 1.90898042813988e-08
"ADGRL1" "protein_coding" 22859 "ENSG00000072071" "ENSG00000072071.16" "ADGRL1" 1.80871790379819 2.59642206724677 6.58137164645252 2.36227409582056e-10 1.94184911117199e-08
"PTGDS" "protein_coding" 5730 "ENSG00000107317" "ENSG00000107317.12" "PTGDS" 3.41140606643621 3.0758735663125 6.56846755595918 2.53455691405877e-10 2.070366364767e-08
"PPP2R2C" "protein_coding" 5522 "ENSG00000074211" "ENSG00000074211.13" "PPP2R2C" 3.94726339582527 -1.55551929631351 6.55286011808229 2.76042358358123e-10 2.23208166491879e-08
"TMEM119" "protein_coding" 338773 "ENSG00000183160" "ENSG00000183160.8" "TMEM119" 2.21731208476746 0.722186381545659 6.55163145094412 2.77673254442229e-10 2.23208166491879e-08
"CPXM1" "protein_coding" 56265 "ENSG00000088882" "ENSG00000088882.7" "CPXM1" 1.85982561332748 0.772985821845868 6.54932900365659 2.81164940565246e-10 2.24034984543645e-08
"DNAJA4" "protein_coding" 55466 "ENSG00000140403" "ENSG00000140403.12" "DNAJA4" 1.65969156342321 1.39166433457254 6.54305724384685 2.90897164306559e-10 2.30376364025219e-08
"CTNND2" "protein_coding" 1501 "ENSG00000169862" "ENSG00000169862.18" "CTNND2" 4.45453703533953 -0.756481178155981 6.53737176785086 3.00604788855721e-10 2.36621515009582e-08
